STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT15,WT18
CO,2019-07-30,19.698050139275768,1.9241554054054053,47.781430371865575,11.057777777777778,28.273553719008262,0.0,0.0,26.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
CO,2019-07-31,19.682451253481894,0.9933954276037256,49.71519372897087,11.396675900277009,27.91551246537396,4.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-01,18.693852459016394,1.909083536090836,60.84904270292903,11.7433242506812,25.65298913043478,12.0,1.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-02,18.64795081967213,3.960561184723304,65.91417765069808,11.155826558265582,26.14037940379404,15.0,3.0,39.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-03,19.406749311294764,1.5018324607329845,54.81648955959349,11.380494505494504,27.390437158469943,8.0,1.0,20.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-04,19.55521978021978,1.120199275362319,52.50738070949774,11.766849315068493,27.29019073569482,6.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-05,19.24219178082192,2.0213210702341136,56.64424414802044,11.043631436314364,27.40273224043716,6.0,1.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-06,19.69835616438356,1.173300165837479,50.6625114572852,11.023097826086955,28.35409836065574,1.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-07,19.801506849315068,0.9124255319148936,49.07012472986555,11.579891304347823,27.98315217391304,4.0,0.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-08,18.83691460055097,2.549052132701422,65.01224297484016,11.621253405994551,26.0655737704918,7.0,0.0,40.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-09,18.452472527472526,4.881782642689601,60.93718876990138,11.065940054495911,25.77956403269755,12.0,0.0,36.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-10,18.9844262295082,1.4885883347421809,55.774756335222655,11.84959349593496,26.0566757493188,5.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-11,17.893250688705233,3.0582372322899505,63.12976593958609,11.689835164835166,23.97907608695652,12.0,2.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-12,17.464325068870522,3.3492706645056725,56.33737540277783,9.585286103542234,25.30741758241758,9.0,3.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-13,17.57741046831956,0.2772843723313407,45.96123271657748,8.785714285714286,26.336612021857924,6.0,0.0,16.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-14,18.057988980716253,1.5047697368421051,49.84912873985762,9.072207084468666,27.010468319559227,5.0,0.0,20.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-15,18.54849726775956,0.3274678111587983,42.19168800587358,9.37277628032345,27.666939890710385,2.0,0.0,18.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
CO,2019-08-16,18.757123287671234,0.0780762564991334,43.20746080013226,9.70625,27.765205479452053,6.0,3.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-17,18.03767123287671,0.5620512820512821,41.28156794438124,9.163315217391304,26.81852861035422,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-18,18.299316939890712,0.2053182214472537,40.79535077842328,8.600272479564033,27.98306010928961,8.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-19,19.300953678474112,0.0246031746031746,36.41555115436864,9.776216216216216,28.805722070844688,5.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-20,20.22309782608696,0.0488656195462478,35.31294167513027,10.557297297297296,29.863315217391307,1.0,0.0,15.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-21,19.186263736263736,0.5126582278481012,46.09749965626137,10.161917808219178,28.152043596730245,1.0,1.0,28.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-22,17.91129476584022,2.2053852526926265,50.38829512509207,9.442076502732242,26.314794520547945,3.0,0.0,36.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-23,17.925,0.7639830508474577,45.516348674213205,9.860109289617489,25.967397260273973,7.0,0.0,26.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
CO,2019-08-24,17.115479452054792,0.7279271465741544,47.49799004564095,8.055284552845528,26.14493150684932,8.0,1.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-25,18.898618784530388,0.0122633002705139,39.06219325552775,9.931780821917808,27.84696132596685,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-26,18.492328767123286,0.0185483870967741,39.398478749807246,9.553678474114442,27.401639344262296,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-27,16.285318559556785,0.0943760984182776,47.124746258826605,7.490055248618785,25.06328767123288,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-28,16.61887052341598,0.0269813000890471,43.14793319917312,6.917486338797815,26.28406593406593,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-29,18.085928961748632,0.037342908438061,32.98033482909169,8.519293478260868,27.6292349726776,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-08-30,18.150961538461537,0.1019695613249776,48.312742385117126,9.033333333333331,27.21256830601093,5.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
